"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"THỨC ĂN","SỐ LƯỢNG","CALO (kcal)","ĐẠM (g)","BÉO (g)","BỘT / ĐƯỜNG (g)","XƠ (g)"
"Cơm trắng","1 chén vừa","200","4.6","0.6","44.2","0.23"
"Cơm trắng","1 đĩa cơm phần","406","9.3","1.2","89.9","0.47"
"Bầu xào trứng","1 đĩa","109","4","8.5","4","1.3"
"Bò bía","3 cuốn","93","5.8","4.3","7.7","0.47"
"Bò cuốn lá lốt","8 cuốn","841","49","12.5","133.1","6.86"
"Bò cuốn mỡ chài","8 cuốn","1180","60.4","46.1","130.9","5.86"
"Cá bạc má chiên","1 con","135","13.1","9.1","0","0"
"Cá bạc má kho","1 con","167","21.1","5.3","8.7","0.04"
"Cá cơm lăn bột chiên","1 đĩa","195","9.7","9.7","17.3","0.15"
"Cá chép chưng tương","1 con","156","16.4","6.6","7.9","0.11"
"Cá chim chiên","1 con","111","10.5","7.6","0","0"
"Cá đối chiên","1 con","108","9.8","7.7","0","0"
"Cá đối kho","1 con","82","10.2","2.7","4.4","0.02"
"Cá hú kho","1 lát cá","184","15.6","9.7","8.7","0.04"
"Cá lóc chiên","1 lát","169","14.9","12.2","0","0"
"Cá lóc kho","1 lát cá","131","15.7","3.8","8.7","0.04"
"Cá ngừ kho","1 lát cá","122","17.7","1.8","8.7","0.04"
"Cá trê chiên","1 con","219","12.4","18.9","0","0"
"Cá viên kho","10 viên nhỏ","100","15.1","2.8","3.5","0.01"
"Canh bắp cải","1 chén","37","1.8","2.1","2.8","0.82"
"Canh bầu","1 chén","30","1.2","2.1","1.5","0.52"
"Canh bí đao","1 chén","29","1.2","2.1","1.3","0.52"
"Canh bí rợ","1 chén","42","1.2","2.1","4.6","0.64"
"Canh cải ngọt","1 chén","30","1.7","2.1","1.1","0.9"
"Canh chua","1 chén","29","1.9","1.1","2.9","1.19"
"Canh hẹ","1 chén","33","2.9","2.1","0.7","0.35"
"Canh khoai mỡ","1 chén","51","1.5","1.1","8.7","0.56"
"Canh khổ qua hầm","1 chén","175","10","11.4","7.9","1.4"
"Canh mướp","1 chén","31","1.4","2.1","1.6","0.27"
"Canh rau dền","1 chén","22","0.9","2.1","0.1","0"
"Canh rau ngót","1 chén","29","1.9","2.1","0.7","0.5"
"Cơm tấm bì","1 đĩa cơm phần","627","26","19.3","87.6","0.48"
"Cơm tấm chả","1 đĩa cơm phần","592","17","18.1","90.7","1.03"
"Cơm tấm sườn","1 đĩa cơm phần","527","20.7","13.3","81.6","0.44"
"Chả cá thác lác chiên","1 miếng tròn","133","11.3","9.7","0.2","0.04"
"Chả giò chiên","10 cuốn","41","1.8","2.1","3.6","0.1"
"Chả lụa kho","1 khoanh","102","11.7","4.6","3.5","0.01"
"Chả trứng chưng","1 lát","195","11.3","13.9","6","0.35"
"Chim cút chiên bơ","1 con","208","10.6","16.9","2.3","0.04"
"Đậu hủ dồn thịt","1 miếng lớn","328","18.7","25.8","5.3","0.58"
"Gà kho gừng","1 đĩa","301","21.9","19.1","10.3","0.91"
"Gà rô ti","1 cái đùi","300","20.3","23.1","2.8","0"
"Gà xào sả ớt","1 đĩa","272","20.4","19.1","4.7","0"
"Gan heo xào","1 đĩa","200","24.8","9.7","3.4","0.15"
"Gỏi bì cuốn","3 cuốn","116","10.3","3.6","10.6","0.25"
"Gỏi khô bò","1 đĩa","268","15.8","11.5","25.1","2.08"
"Gỏi tôm cuốn","3 cuốn","147","7.7","5","17.8","0.76"
"Khoai tây bò bít tết","1 đĩa","246","12.4","12.9","20.2","0.96"
"Khổ qua xào trứng","1 đĩa","114","4.6","8.5","4.6","1.58"
"Lạp xưởng chiên","1 cái","293","10.4","27.5","0.9","0"
