food,CALO (kcal),protein (g),fat (g),sugar (g),fiber (g),number,unit
Cơm trắng,200.0,4.6,0.6,44.2,0.23,1.0,chén vừa
Cơm trắng,406.0,9.3,1.2,89.9,0.47,1.0,đĩa cơm phần
Bầu xào trứng,109.0,4.0,8.5,4.0,1.3,1.0,đĩa
Bò bía,93.0,5.8,4.3,7.7,0.47,3.0,cuốn
Bò cuốn lá lốt,841.0,49.0,12.5,133.1,6.86,8.0,cuốn
Bò cuốn mỡ chài,1180.0,60.4,46.1,130.9,5.86,8.0,cuốn
Cá bạc má chiên,135.0,13.1,9.1,0.0,0.0,1.0,con
Cá bạc má kho,167.0,21.1,5.3,8.7,0.04,1.0,con
Cá cơm lăn bột chiên,195.0,9.7,9.7,17.3,0.15,1.0,đĩa
Cá chép chưng tương,156.0,16.4,6.6,7.9,0.11,1.0,con
Cá chim chiên,111.0,10.5,7.6,0.0,0.0,1.0,con
Cá đối chiên,108.0,9.8,7.7,0.0,0.0,1.0,con
Cá đối kho,82.0,10.2,2.7,4.4,0.02,1.0,con
Cá hú kho,184.0,15.6,9.7,8.7,0.04,1.0,lát cá
Cá lóc chiên,169.0,14.9,12.2,0.0,0.0,1.0,lát
Cá lóc kho,131.0,15.7,3.8,8.7,0.04,1.0,lát cá
Cá ngừ kho,122.0,17.7,1.8,8.7,0.04,1.0,lát cá
Cá trê chiên,219.0,12.4,18.9,0.0,0.0,1.0,con
Cá viên kho,100.0,15.1,2.8,3.5,0.01,10.0,viên nhỏ
Canh bắp cải,37.0,1.8,2.1,2.8,0.82,1.0,chén
Canh bầu,30.0,1.2,2.1,1.5,0.52,1.0,chén
Canh bí đao,29.0,1.2,2.1,1.3,0.52,1.0,chén
Canh bí rợ,42.0,1.2,2.1,4.6,0.64,1.0,chén
Canh cải ngọt,30.0,1.7,2.1,1.1,0.9,1.0,chén
Canh chua,29.0,1.9,1.1,2.9,1.19,1.0,chén
Canh hẹ,33.0,2.9,2.1,0.7,0.35,1.0,chén
Canh khoai mỡ,51.0,1.5,1.1,8.7,0.56,1.0,chén
Canh khổ qua hầm,175.0,10.0,11.4,7.9,1.4,1.0,chén
Canh mướp,31.0,1.4,2.1,1.6,0.27,1.0,chén
Canh rau dền,22.0,0.9,2.1,0.1,0.0,1.0,chén
Canh rau ngót,29.0,1.9,2.1,0.7,0.5,1.0,chén
Cơm tấm bì,627.0,26.0,19.3,87.6,0.48,1.0,đĩa cơm phần
Cơm tấm chả,592.0,17.0,18.1,90.7,1.03,1.0,đĩa cơm phần
Cơm tấm sườn,527.0,20.7,13.3,81.6,0.44,1.0,đĩa cơm phần
Chả cá thác lác chiên,133.0,11.3,9.7,0.2,0.04,1.0,miếng tròn
Chả giò chiên,41.0,1.8,2.1,3.6,0.1,10.0,cuốn
Chả lụa kho,102.0,11.7,4.6,3.5,0.01,1.0,khoanh
Chả trứng chưng,195.0,11.3,13.9,6.0,0.35,1.0,lát
Chim cút chiên bơ,208.0,10.6,16.9,2.3,0.04,1.0,con
Đậu hủ dồn thịt,328.0,18.7,25.8,5.3,0.58,1.0,miếng lớn
Gà kho gừng,301.0,21.9,19.1,10.3,0.91,1.0,đĩa
Gà rô ti,300.0,20.3,23.1,2.8,0.0,1.0,cái đùi
Gà xào sả ớt,272.0,20.4,19.1,4.7,0.0,1.0,đĩa
Gan heo xào,200.0,24.8,9.7,3.4,0.15,1.0,đĩa
Gỏi bì cuốn,116.0,10.3,3.6,10.6,0.25,3.0,cuốn
Gỏi khô bò,268.0,15.8,11.5,25.1,2.08,1.0,đĩa
Gỏi tôm cuốn,147.0,7.7,5.0,17.8,0.76,3.0,cuốn
Khoai tây bò bít tết,246.0,12.4,12.9,20.2,0.96,1.0,đĩa
Khổ qua xào trứng,114.0,4.6,8.5,4.6,1.58,1.0,đĩa
Lạp xưởng chiên,293.0,10.4,27.5,0.9,0.0,1.0,cái
Mắm chưng,194.0,13.3,13.7,4.4,0.37,1.0,miếng tròn
Mực xào sả ớt,184.0,31.0,6.7,0.1,0.03,1.0,đĩa
Mực xào thập cẩm,136.0,17.4,5.9,3.5,0.58,1.0,đĩa
Sườn nướng,111.0,10.3,7.3,1.0,0.01,1.0,miếng
Sườn ram,155.0,10.9,11.3,2.6,0.06,1.0,miếng
Tép rang,101.0,5.6,6.5,4.8,0.02,10.0,con
Thị heo quay,146.0,9.2,12.0,0.0,0.0,1.0,đĩa
Thịt bò xào đậu que,195.0,16.8,6.9,16.6,1.25,1.0,đĩa
Thịt bò xào giá hẹ,143.0,15.6,6.9,4.8,1.87,1.0,đĩa
Thịt bò xào hành tây,132.0,11.8,6.9,5.8,0.77,1.0,đĩa
Thịt bò xào măng,104.0,10.5,6.9,0.0,0.0,1.0,đĩa
Thịt bò xào nấm rơm,152.0,13.5,9.6,2.9,0.92,1.0,đĩa
Thịt heo phá lấu,242.0,13.9,19.9,1.6,0.05,1.0,đĩa
Thịt heo xào đậu que,240.0,20.5,10.2,16.6,1.25,1.0,đĩa
Thịt heo xào giá hẹ,188.0,19.3,10.2,4.8,1.87,1.0,đĩa
Thịt kho tiêu,200.0,21.2,7.6,11.5,0.17,1.0,đĩa
Thịt kho trứng,315.0,19.8,22.9,7.5,0.0,1.0,trứng+2 miếng thịt
Xíu mại,104.0,11.9,4.2,4.6,0.3,2.0,viên
Bánh bao chay,220.0,10.5,4.7,34.0,0.61,2.0,cái
Bông cải xào thập cẩm,142.0,6.7,6.3,14.6,2.8,1.0,đĩa
Bún bò huế,479.0,18.4,16.0,65.3,3.3,1.0,tô
Bún riêu,482.0,16.5,16.8,66.0,3.4,1.0,tô
Bún thịt nướng,451.0,14.7,13.7,67.3,3.96,1.0,tô
Bún xào,570.0,23.4,28.0,56.0,2.17,1.0,đĩa
Cá cơm lăn bột chiên,316.0,6.7,17.3,33.4,0.64,1.0,đĩa
Cà chua dồn thịt,131.0,7.3,7.2,9.2,0.78,2.0,trái
Cá mòi kho,105.0,4.3,5.0,10.8,2.9,1.0,đĩa
Cà ri,278.0,7.8,11.4,36.0,1.86,1.0,tô
Cà tím nướng,33.0,1.5,0.0,6.8,2.25,1.0,đĩa
Canh chua,37.0,1.7,1.0,5.2,1.18,1.0,tô
Canh kiểm,291.0,5.4,13.1,37.7,1.67,1.0,tô
Canh khổ qua hầm,88.0,4.5,4.0,8.3,1.13,1.0,tô
Canh rau ngót,23.0,1.6,1.4,1.1,0.63,1.0,tô
Cơm chiên dương châu,530.0,14.9,11.3,92.7,1.56,1.0,đĩa
Chả lụa chiên,336.0,36.7,18.5,5.7,0.22,1.0,cái tròn
